subscription_id,customer_id,plan_name,amount,failure_code,attempt_count,days_since_failure,tier,tenure_months,lifetime_success_rate,billing_day,usual_payment_day,previous_failures,previous_recovery_days,preferred_channel
sub_001,cust_001,Business,4999,INSUFFICIENT_FUNDS,2,1,at_risk,2,0.55,5,2,1,[5],netbanking
sub_002,cust_002,Pro,1999,INSUFFICIENT_FUNDS,1,1,regular,20,0.82,20,22,0,[],upi
sub_003,cust_003,Pro,1999,MANDATE_REVOKED,1,0,high_value,14,0.81,5,5,0,[],card
sub_004,cust_004,Starter,499,CARD_EXPIRED,1,2,regular,17,0.88,20,20,0,[],upi
sub_005,cust_005,Business,4999,INSUFFICIENT_FUNDS,0,6,at_risk,2,0.22,10,12,2,"[1, 2]",upi
sub_006,cust_006,Starter,499,CARD_EXPIRED,1,6,regular,14,0.82,10,9,2,"[1, 5]",card
sub_007,cust_007,Business,4999,INSUFFICIENT_FUNDS,0,1,at_risk,4,0.56,15,16,1,[1],card
sub_008,cust_008,Pro,1999,CARD_EXPIRED,1,4,regular,23,0.87,25,25,0,[],upi
sub_009,cust_009,Pro,1999,INSUFFICIENT_FUNDS,1,4,at_risk,7,0.67,10,13,2,"[2, 2]",netbanking
sub_010,cust_010,Business,4999,CARD_EXPIRED,1,6,high_value,11,0.93,1,2,2,"[1, 4]",netbanking
sub_011,cust_011,Pro,1999,MANDATE_REVOKED,1,2,regular,6,0.91,20,18,2,"[3, 1]",netbanking
sub_012,cust_012,Pro,1999,CARD_EXPIRED,0,5,regular,8,0.88,25,25,2,"[3, 5]",netbanking
sub_013,cust_013,Business,4999,INSUFFICIENT_FUNDS,0,1,regular,22,0.84,20,22,0,[],upi
sub_014,cust_014,Pro,1999,NETWORK_ERROR,0,2,high_value,34,0.89,5,1,0,[],upi
sub_015,cust_015,Business,4999,CARD_EXPIRED,0,6,regular,24,0.87,20,19,1,[5],upi
sub_016,cust_016,Business,4999,CARD_EXPIRED,1,4,regular,12,0.86,25,28,1,[5],upi
sub_017,cust_017,Pro,1999,INSUFFICIENT_FUNDS,0,2,regular,10,0.89,1,7,0,[],netbanking
sub_018,cust_018,Business,4999,MANDATE_REVOKED,1,0,regular,10,0.83,10,8,0,[],netbanking
sub_019,cust_019,Business,4999,INSUFFICIENT_FUNDS,0,4,first_time,1,,20,21,0,[],upi
sub_020,cust_020,Pro,1999,INSUFFICIENT_FUNDS,0,3,regular,17,0.94,10,11,2,"[1, 1]",card
sub_021,cust_021,Pro,1999,MANDATE_REVOKED,1,0,high_value,23,0.87,5,2,0,[],upi
sub_022,cust_022,Pro,1999,CARD_EXPIRED,0,0,high_value,7,0.9,15,17,0,[],upi
sub_023,cust_023,Starter,499,INSUFFICIENT_FUNDS,1,1,regular,15,0.78,15,13,1,[4],upi
sub_024,cust_024,Pro,1999,CARD_EXPIRED,0,6,first_time,1,,20,23,0,[],netbanking
sub_025,cust_025,Starter,499,INSUFFICIENT_FUNDS,0,0,regular,4,0.92,20,23,0,[],netbanking
sub_026,cust_026,Business,4999,CARD_EXPIRED,0,4,first_time,0,,5,1,0,[],netbanking
sub_027,cust_027,Starter,499,INSUFFICIENT_FUNDS,0,6,regular,21,0.83,5,5,2,"[1, 4]",upi
sub_028,cust_028,Business,4999,MANDATE_REVOKED,1,2,regular,11,0.86,5,3,1,[3],upi
sub_029,cust_029,Starter,499,INSUFFICIENT_FUNDS,0,4,at_risk,4,0.46,1,1,2,"[1, 2]",netbanking
sub_030,cust_030,Pro,1999,INSUFFICIENT_FUNDS,1,4,regular,23,0.88,25,25,2,"[1, 2]",netbanking
sub_031,cust_031,Pro,1999,INSUFFICIENT_FUNDS,1,4,regular,22,0.82,5,3,0,[],card
sub_032,cust_032,Business,4999,MANDATE_REVOKED,1,3,regular,23,0.86,10,8,0,[],upi
sub_033,cust_033,Starter,499,INSUFFICIENT_FUNDS,0,2,regular,16,0.89,5,5,0,[],netbanking
sub_034,cust_034,Business,4999,UPI_TIMEOUT,0,6,regular,7,0.86,10,12,1,[3],netbanking
sub_035,cust_035,Starter,499,NETWORK_ERROR,1,1,regular,20,0.95,25,23,2,"[2, 2]",card
